key,family,variant,horizon_days,parameters,long_total_windows,long_sample_eligible_windows,long_oos_complete_windows,long_oos_eligible_windows,long_weighted_sample_mean_ic,long_median_sample_mean_ic,long_weighted_oos_mean_ic,long_median_oos_mean_ic,long_oos_ic_std_across_windows,long_positive_sample_window_rate,long_positive_oos_window_rate,long_sign_consistency_rate,long_both_positive_rate,long_mean_ic_change,long_mean_absolute_ic_change,short_total_windows,short_sample_eligible_windows,short_oos_complete_windows,short_oos_eligible_windows,short_weighted_sample_mean_ic,short_median_sample_mean_ic,short_weighted_oos_mean_ic,short_median_oos_mean_ic,short_oos_ic_std_across_windows,short_positive_sample_window_rate,short_positive_oos_window_rate,short_sign_consistency_rate,short_both_positive_rate,short_mean_ic_change,short_mean_absolute_ic_change,short_required,long_required,pass_short_data,pass_short_weighted_ic,pass_short_median_ic,pass_short_positive_windows,pass_short_sign_consistency,pass_short,pass_long_data,pass_long_weighted_ic,pass_long_median_ic,pass_long_positive_windows,pass_long_sign_consistency,pass_long,pass_data,pass_weighted_ic,pass_median_ic,pass_positive_windows,pass_sign_consistency,passed_all_basic_conditions
high_proximity|high_12m|h1,high_proximity,high_12m,1,"{""window"": 252}",12,12,12,12,0.0067734896154417,0.0075120553,0.0064445122560477,0.008577449,0.014319662,0.9166666666666666,0.5833333333333334,0.5,0.5,-0.0003343475594495,0.0137017955615495,30.0,30.0,30.0,30.0,0.0073201556373246,0.0072524827,0.0078432045095113,0.005833899,0.018564085,0.7666666666666667,0.7,0.4666666666666667,0.4666666666666667,0.0005052670526007,0.0187668938500185,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_12m|h5,high_proximity,high_12m,5,"{""window"": 252}",12,12,12,12,0.0020007314313043,0.00089252135,0.001282419652491,0.0002621885,0.027602162,0.5833333333333334,0.5,0.4166666666666667,0.25,-0.0007331709687908,0.0253436902227501,30.0,30.0,30.0,30.0,0.0024828690404585,0.0017187754,0.0030994809421634,0.0020360956,0.03914227,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.2,0.0006124767436025,0.0390943311504088,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_12m|h10,high_proximity,high_12m,10,"{""window"": 252}",12,12,12,12,-0.0005332664444479,-0.0010910172,-0.0022403323981846,-0.0018546002,0.038699165,0.4166666666666667,0.5,0.4166666666666667,0.1666666666666666,-0.0017213929871407,0.0348584229941479,30.0,30.0,30.0,30.0,0.0003369443511223,-0.0014641108,0.0004278224248152,-0.00027860678,0.055032402,0.4666666666666667,0.5,0.3666666666666666,0.1666666666666666,9.422745400418836e-05,0.0538125512267773,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_12m|h21,high_proximity,high_12m,21,"{""window"": 252}",12,12,12,12,-0.0034356139150477,-0.0011474178,-0.0035867450838739,-0.002035331,0.051483236,0.4166666666666667,0.5,0.5833333333333334,0.25,-0.0001405262155458,0.0413162970216944,30.0,30.0,30.0,30.0,0.000524890032907,0.00018118342,-0.0013444163107785,0.008576281,0.07399065,0.5,0.5333333333333333,0.5,0.2666666666666666,-0.0019200668049355,0.0682351239956915,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_12m|h42,high_proximity,high_12m,42,"{""window"": 252}",12,12,12,12,-0.004858425080567,-0.0043795044,-0.0054722557095583,0.0005091164,0.06582607,0.4166666666666667,0.5833333333333334,0.5,0.25,-0.0005754469893872,0.0561720497595767,30.0,30.0,29.0,29.0,-0.0018364155622498,0.0017500677,-0.0081376184839351,-0.02211033,0.10081711,0.5666666666666667,0.4482758620689655,0.4827586206896552,0.2413793103448276,-0.0061707377819151,0.0934173298421604,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_12m|h63,high_proximity,high_12m,63,"{""window"": 252}",12,12,12,12,-0.0019216694850018,-0.0026318529,-0.0016530897808393,0.014518889,0.0727674,0.4166666666666667,0.6666666666666666,0.25,0.1666666666666666,0.0003394526429474,0.0641965135000646,30.0,30.0,29.0,29.0,-0.0002622335960071,0.006535164,-0.0071010748668202,-0.009392279,0.11505971,0.5333333333333333,0.4482758620689655,0.4827586206896552,0.2413793103448276,-0.0069509660825133,0.1097966014760835,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_12m|h126,high_proximity,high_12m,126,"{""window"": 252}",12,12,12,12,0.0018173346299125,0.009878397,0.0104809062608046,0.03154474,0.11587761,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.0088075408178459,0.1018516277981689,30.0,30.0,29.0,29.0,0.0052057096863166,0.012414597,0.0049414422522902,0.0030091652,0.14136015,0.5666666666666667,0.5172413793103449,0.4137931034482758,0.2413793103448276,0.0003280528532019,0.1482576425347862,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_12m|h252,high_proximity,high_12m,252,"{""window"": 252}",12,12,11,11,-0.0041801153335433,0.0012902226,0.0157615822205599,0.040131547,0.1381381,0.5,0.7272727272727273,0.7272727272727273,0.4545454545454545,0.0231651237065141,0.1137112717736851,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,True,False,True,False,True,False,True,False,True,False
high_proximity|high_18m|h1,high_proximity,high_18m,1,"{""window"": 378}",12,12,12,12,0.0076930002150069,0.008620329,0.0075199953179712,0.008585254,0.014476699,0.9166666666666666,0.5833333333333334,0.5,0.5,-0.0001803659445916,0.0137204013687248,30.0,30.0,30.0,30.0,0.0083445710255474,0.008585839,0.0088022315364568,0.007565572,0.018454175,0.8,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.0004391190595924,0.0187623843550682,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_18m|h5,high_proximity,high_18m,5,"{""window"": 378}",12,12,12,12,0.0040503647891684,0.0030051311,0.0034462000327302,0.0023649835,0.027862916,0.9166666666666666,0.5,0.4166666666666667,0.4166666666666667,-0.0006226513069123,0.0253201559341202,30.0,30.0,30.0,30.0,0.0045972208054524,0.0037398487,0.0049901971104369,0.00052535627,0.039343152,0.6,0.5,0.3666666666666666,0.2333333333333333,0.0003927489665026,0.0395839847391471,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_18m|h10,high_proximity,high_18m,10,"{""window"": 378}",12,12,12,12,0.0016858377697369,0.002305487,5.89734709879039e-05,-0.00083751464,0.039366324,0.6666666666666666,0.5,0.1666666666666666,0.1666666666666666,-0.0016462954226881,0.0351497781618187,30.0,30.0,30.0,30.0,0.0026773446282893,0.0017674689,0.0023770700285423,-0.0014168783,0.055311177,0.5,0.4666666666666667,0.3666666666666666,0.1666666666666666,-0.0002947169899319,0.0550144750236844,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
high_proximity|high_18m|h21,high_proximity,high_18m,21,"{""window"": 378}",12,12,12,12,-0.0015237295618803,0.0012694071,-0.0015161046891566,-0.0011132963,0.05286382,0.5833333333333334,0.5,0.4166666666666667,0.25,1.2854290010485178e-05,0.0415631466494232,30.0,30.0,30.0,30.0,0.0025532182945769,0.0024421094,0.0004353219529599,0.0033575855,0.07534565,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.3,-0.0021630302071571,0.0724002266923586,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_18m|h42,high_proximity,high_18m,42,"{""window"": 378}",12,12,12,12,-0.0036668242743544,-0.0075621223,-0.0041375465777031,0.0052213897,0.070158415,0.4166666666666667,0.5,0.5833333333333334,0.25,-0.0004370332850764,0.0564556698470066,30.0,30.0,29.0,29.0,-0.0002831900677037,0.0037080739,-0.0069054204292344,-0.022035046,0.10506794,0.5333333333333333,0.4482758620689655,0.5172413793103449,0.2413793103448276,-0.0065298786964909,0.0990054232293161,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_18m|h63,high_proximity,high_18m,63,"{""window"": 378}",12,12,12,12,-0.000901727666424,-0.0039171786,-0.0004611902288855,0.013419526,0.07820737,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.1666666666666666,0.0005098096250245,0.0670021901993701,30.0,30.0,29.0,29.0,0.001338203684589,0.00581449,-0.0060494871657369,0.0011537236,0.119629785,0.5,0.5172413793103449,0.4482758620689655,0.2413793103448276,-0.0074389068217113,0.1162873374233985,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
high_proximity|high_18m|h126,high_proximity,high_18m,126,"{""window"": 378}",12,12,12,12,0.0042410049236005,0.009512032,0.013124197761135,0.027962646,0.1196615,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.0090188603692998,0.1046778293481717,30.0,30.0,29.0,29.0,0.0077965093877153,0.015723646,0.0060256960435839,0.010372195,0.14756986,0.5666666666666667,0.5517241379310345,0.4482758620689655,0.2758620689655172,-0.0008579770038867,0.1553745619181929,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_18m|h252,high_proximity,high_18m,252,"{""window"": 378}",12,12,11,11,-0.0048748747975843,0.0072639044,0.0175143702216769,0.04484757,0.14253847,0.5833333333333334,0.6363636363636364,0.5454545454545454,0.3636363636363636,0.0243893665346232,0.1241366101259535,,,,,,,,,,,,,,,,False,True,,,,,,True,True,False,True,False,False,False,True,False,True,False,False,False
high_proximity|high_6m|h1,high_proximity,high_6m,1,"{""window"": 126}",12,12,12,12,0.0048849244162372,0.005445703,0.0037080275342365,0.0043967143,0.011519386,0.9166666666666666,0.5833333333333334,0.5,0.5,-0.0011826739258443,0.0109280040875698,30.0,30.0,30.0,30.0,0.0049640827199602,0.0032536706,0.0051705000040785,0.0048124953,0.016746512,0.7666666666666667,0.6,0.3666666666666666,0.3666666666666666,0.0001912051035712,0.0172831187490373,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False
high_proximity|high_6m|h5,high_proximity,high_6m,5,"{""window"": 126}",12,12,12,12,0.0004943867635178,-0.0005619476,-0.0010190941174276,-0.0029931208,0.021940144,0.4166666666666667,0.5,0.4166666666666667,0.1666666666666666,-0.0015312479420875,0.0205777563387528,30.0,30.0,30.0,30.0,0.0002161357450387,0.0006019879,0.0006739353056023,-0.0009955474,0.032468677,0.5,0.5,0.3333333333333333,0.1666666666666666,0.0004316924993569,0.0329476591122026,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
