key,family,variant,horizon_days,parameters,long_total_windows,long_sample_eligible_windows,long_oos_complete_windows,long_oos_eligible_windows,long_weighted_sample_mean_ic,long_median_sample_mean_ic,long_weighted_oos_mean_ic,long_median_oos_mean_ic,long_oos_ic_std_across_windows,long_positive_sample_window_rate,long_positive_oos_window_rate,long_sign_consistency_rate,long_both_positive_rate,long_mean_ic_change,long_mean_absolute_ic_change,short_total_windows,short_sample_eligible_windows,short_oos_complete_windows,short_oos_eligible_windows,short_weighted_sample_mean_ic,short_median_sample_mean_ic,short_weighted_oos_mean_ic,short_median_oos_mean_ic,short_oos_ic_std_across_windows,short_positive_sample_window_rate,short_positive_oos_window_rate,short_sign_consistency_rate,short_both_positive_rate,short_mean_ic_change,short_mean_absolute_ic_change,short_required,long_required,pass_short_data,pass_short_weighted_ic,pass_short_median_ic,pass_short_positive_windows,pass_short_sign_consistency,pass_short,pass_long_data,pass_long_weighted_ic,pass_long_median_ic,pass_long_positive_windows,pass_long_sign_consistency,pass_long,pass_data,pass_weighted_ic,pass_median_ic,pass_positive_windows,pass_sign_consistency,passed_all_basic_conditions
momentum|12m-0m|h1,momentum,12m-0m,1,"{""skip"": 0, ""window"": 252}",12,12,12,12,0.0106399212252286,0.010518165,0.0121128182443793,0.016955249,0.016617373,1.0,0.75,0.75,0.75,0.001474127639085,0.0161363782050708,30.0,30.0,30.0,30.0,0.0118233519533996,0.01269917,0.0132584320160727,0.015062179,0.017271103,0.9666666666666668,0.8,0.7666666666666667,0.7666666666666667,0.0014345885409663,0.016988874056066,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|12m-1m|h1,momentum,12m-1m,1,"{""skip"": 21, ""window"": 252}",12,12,12,12,0.0120431830097964,0.012050413,0.0137543131447982,0.016497888,0.016166158,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0017132306238636,0.0154608257968599,30.0,30.0,30.0,30.0,0.0134874088628269,0.013871591,0.0148383321580217,0.016018778,0.016558964,0.9333333333333332,0.8666666666666667,0.8,0.8,0.0013579808330784,0.0163478075992316,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|12m-2m|h1,momentum,12m-2m,1,"{""skip"": 42, ""window"": 252}",12,12,12,12,0.0113004167967706,0.0104539,0.012375548976147,0.016578253,0.015572966,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0010756256524473,0.0150299335364252,30.0,30.0,30.0,30.0,0.012309285806835,0.012964289,0.0136707522779139,0.013132992,0.016079664,0.9666666666666668,0.8,0.7666666666666667,0.7666666666666667,0.0013742657378315,0.0159425185372432,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|18m-0m|h1,momentum,18m-0m,1,"{""skip"": 0, ""window"": 378}",12,12,12,12,0.0091736585059564,0.009829441,0.0119224670981109,0.010840409,0.016309777,1.0,0.75,0.75,0.75,0.0027404833429803,0.0158428209057698,30.0,30.0,30.0,30.0,0.0101958617780694,0.00968481,0.0113619508186542,0.013981288,0.01781604,0.8666666666666667,0.6666666666666666,0.6,0.5666666666666667,0.0011465169334163,0.016694649355486,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|18m-1m|h1,momentum,18m-1m,1,"{""skip"": 21, ""window"": 378}",12,12,12,12,0.0106225990999934,0.011199772,0.0136099802936803,0.011065686,0.015604348,1.0,0.75,0.75,0.75,0.0029796179927264,0.0148397215719645,30.0,30.0,30.0,30.0,0.0117528117121393,0.010971999,0.0128606861873482,0.014807778,0.017058525,0.9333333333333332,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.0010940258546421,0.0161342060348639,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|18m-2m|h1,momentum,18m-2m,1,"{""skip"": 42, ""window"": 378}",12,12,12,12,0.0104982446207457,0.01102416,0.0130827822415448,0.01143161,0.015199914,1.0,0.75,0.75,0.75,0.0025763203157112,0.0145952372113242,30.0,30.0,30.0,30.0,0.0113188448035908,0.009685862,0.0123281234126727,0.016809102,0.016626813,0.9,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.0009991238359361,0.0159966615183899,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|24m-0m|h1,momentum,24m-0m,1,"{""skip"": 0, ""window"": 504}",12,12,12,12,0.0085458764516967,0.00830696,0.0108168232672822,0.00807199,0.016776618,1.0,0.75,0.75,0.75,0.0022633305440346,0.0165214911103248,30.0,30.0,30.0,30.0,0.009344216137328,0.008217541,0.0102467950095054,0.010159612,0.019820023,0.8333333333333334,0.7333333333333333,0.6333333333333333,0.6,0.0008828832224632,0.0168337520910426,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|24m-1m|h1,momentum,24m-1m,1,"{""skip"": 21, ""window"": 504}",12,12,12,12,0.0100684456966074,0.009755161,0.0125820762730858,0.008783775,0.016024439,1.0,0.75,0.75,0.75,0.0025069862604141,0.0155487886319557,30.0,30.0,30.0,30.0,0.0109621335456917,0.010025902,0.0118135909929708,0.012100495,0.0189526,0.8666666666666667,0.7333333333333333,0.6666666666666666,0.6333333333333333,0.0008364969903292,0.015722538162178,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|24m-1m|h5,momentum,24m-1m,5,"{""skip"": 21, ""window"": 504}",12,12,12,12,0.012417420356819,0.0122799,0.0132974020936486,0.014608141,0.031718772,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0008632909351338,0.0312034373637288,30.0,30.0,30.0,30.0,0.0131286954529776,0.016626474,0.0126369731982038,0.01294614,0.040708534,0.7666666666666667,0.6333333333333333,0.6,0.5,-0.0004607072526899,0.035462236276362,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
momentum|24m-2m|h1,momentum,24m-2m,1,"{""skip"": 42, ""window"": 504}",12,12,12,12,0.0099415097937785,0.009713676,0.0121671735529551,0.009810276,0.01583672,1.0,0.75,0.75,0.75,0.0022180876694619,0.0154948287333051,30.0,30.0,30.0,30.0,0.0105253919531545,0.009686654,0.0113556256393015,0.013413236,0.019212913,0.8666666666666667,0.7333333333333333,0.6666666666666666,0.6333333333333333,0.0008181787949676,0.0162479102999592,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
