robustness_layer,window,selection_start,selection_end,selection_ic_start,selection_ic_end,oos_start,oos_end,key,family,variant,horizon_days,parameters,observations,mean_ic,std_ic,tstat,positive_rate,early_mean_ic,late_mean_ic,late_tstat,stability,selection_score,eligible,selected,oos_observations,oos_mean_ic,oos_std_ic,oos_tstat,oos_positive_rate,oos_eligible
short,1,2010-01-04,2011-06-30,2010-01-04,2010-12-30,2011-07-01,2011-12-30,momentum|18m-2m|h126,momentum,18m-2m,126,"{""skip"": 42, ""window"": 378}",251,0.16246127,0.092203446,5.497834082039655,0.9721115537848606,0.15974797,0.16515298,3.3889930377713973,0.005405009,0.9522058823529411,True,True,127.0,0.005978337489068508,0.08707565814256668,0.37299541321227864,0.5669291338582677,True
short,1,2010-01-04,2011-06-30,2010-01-04,2011-06-29,2011-07-01,2011-12-30,low_volatility|90d|h1,low_volatility,90d,1,"{""window"": 90}",376,0.007477988,0.28816777,0.5038618085946216,0.48138297872340424,0.012983991,0.0019719866,0.11164201701480658,0.011012005,0.907142857142857,True,True,127.0,0.040114037692546844,0.42282018065452576,1.073393897755314,0.5196850393700787,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,trend|SMA250|h252,trend,SMA250,252,"{""window"": 250}",125,0.08201435,0.08205049,2.412050437703823,0.784,0.15545006,0.009744254,0.9692836782131221,0.1457058,0.8770833333333333,True,True,127.0,-0.0014943559654057026,0.09993479400873184,-0.051263179260823674,0.47244094488188976,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-12-30,2011-07-01,2011-12-30,short_term_reversal|reversal_10d|h126,short_term_reversal,reversal_10d,126,"{""window"": 10}",251,0.04453968,0.14793542,3.645800292991746,0.5936254980079682,0.05214957,0.03699018,1.8502197740307489,0.015159391,0.9000000000000001,True,True,127.0,0.06319388002157211,0.1480213850736618,1.792116366464993,0.6692913385826772,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,residual_momentum|resmom_9m_1m|h252,residual_momentum,resmom_9m_1m,252,"{""skip"": 21, ""window"": 189}",125,0.1101027,0.06895288,4.547459612916606,0.976,0.16107534,0.059939142,7.4951994826896735,0.10113619,0.9104166666666667,True,True,127.0,-0.02953346259891987,0.08069398254156113,-2.3844758586708745,0.4251968503937008,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,volatility_scaled_momentum|vsmom_12m_1m_vol60|h252,volatility_scaled_momentum,vsmom_12m_1m_vol60,252,"{""skip"": 21, ""volatility_window"": 60, ""window"": 252}",125,0.097585104,0.06566299,5.181036836170876,0.992,0.1337643,0.061980188,7.690792863649524,0.07178411,0.9187500000000001,True,True,127.0,0.01914963312447071,0.10883380472660065,0.5869854271041767,0.5748031496062992,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,high_proximity|high_18m|h252,high_proximity,high_18m,252,"{""window"": 378}",125,0.020008413,0.081771,1.303545359880808,0.488,0.00823648,0.031593483,1.1220185484348866,0.023357004,0.8875000000000001,True,True,127.0,0.061065539717674255,0.15332268178462982,1.240138524635185,0.6141732283464567,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,trend_slope|slope_200d|h252,trend_slope,slope_200d,252,"{""window"": 200}",125,0.14582124,0.05324592,7.283476559677265,1.0,0.18637134,0.10591484,7.019015012171759,0.0804565,0.9031250000000002,True,True,127.0,-0.029778849333524704,0.08325783908367157,-2.070174286672839,0.41732283464566927,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,risk_adjusted_trend|risk_trend_250d|h252,risk_adjusted_trend,risk_trend_250d,252,"{""window"": 250}",125,0.105584405,0.03060932,24.188522414395344,1.0,0.09481852,0.11617942,9.452021549649977,0.021360904,0.959375,True,True,127.0,0.0013313505332916975,0.09266094863414764,0.050472546899167435,0.5826771653543307,True
short,1,2010-01-04,2011-06-30,2010-01-04,2010-07-01,2011-07-01,2011-12-30,price_volume_confirmation|pvc_9m_1m_liq20_126|h252,price_volume_confirmation,pvc_9m_1m_liq20_126,252,"{""confirmation_strength"": 0.25, ""liquidity_clip"": 2, ""long_window"": 126, ""short_window"": 20, ""skip"": 21, ""window"": 189}",125,0.11684635,0.055351473,7.08860275693158,1.0,0.15096302,0.08327122,10.773985912688344,0.0676918,0.9104166666666667,True,True,127.0,-0.030799075961112976,0.08171982318162918,-2.1219985056852444,0.44881889763779526,True
