family,variant,horizon_days,parameters,observations,mean_ic,std_ic,tstat,positive_rate
momentum,3m-0m,1,"{""skip"": 0, ""window"": 63}",4180,0.0010777600156702297,0.20707298097625088,0.3365415790589642,0.5143540669856459
momentum,3m-0m,5,"{""skip"": 0, ""window"": 63}",4176,-0.0050136454370106375,0.1968667311058399,-0.9364006062406445,0.5047892720306514
momentum,3m-0m,10,"{""skip"": 0, ""window"": 63}",4171,-0.007732082835620832,0.1896296058108864,-1.069493201937686,0.5025173819228003
momentum,3m-0m,21,"{""skip"": 0, ""window"": 63}",4160,-0.006593692871119343,0.18576902991145947,-0.6716105899394881,0.5064903846153846
momentum,3m-0m,42,"{""skip"": 0, ""window"": 63}",4139,-0.01270049467805301,0.1757294057676548,-1.0175553076721333,0.48731577675767096
momentum,3m-0m,63,"{""skip"": 0, ""window"": 63}",4118,-0.011819330482468915,0.16967917133667665,-0.8565869157988655,0.4847013113161729
momentum,3m-0m,126,"{""skip"": 0, ""window"": 63}",4055,0.00024896280828757693,0.15644034093300177,0.017912334676913205,0.535881627620222
momentum,3m-0m,252,"{""skip"": 0, ""window"": 63}",3929,0.006786903293558192,0.16409351630763033,0.4465486115631447,0.5528124204632222
momentum,3m-1m,1,"{""skip"": 21, ""window"": 63}",4180,0.004578826907035422,0.19393679463257668,1.5266311128526155,0.5232057416267942
momentum,3m-1m,5,"{""skip"": 21, ""window"": 63}",4176,-0.0005708467886873233,0.18662708752643256,-0.11192594767966026,0.5148467432950191
momentum,3m-1m,10,"{""skip"": 21, ""window"": 63}",4171,-0.0045803542684453,0.18118994771172867,-0.6648474366781792,0.490050347638456
momentum,3m-1m,21,"{""skip"": 21, ""window"": 63}",4160,-0.0042388967087449965,0.17851508104037908,-0.4474467384523309,0.5100961538461538
momentum,3m-1m,42,"{""skip"": 21, ""window"": 63}",4139,-0.006923353371720084,0.17165458538381353,-0.578056793031237,0.5047112829185794
momentum,3m-1m,63,"{""skip"": 21, ""window"": 63}",4118,-0.006950786312074831,0.16490139978182888,-0.5519491951233458,0.49781447304516757
momentum,3m-1m,126,"{""skip"": 21, ""window"": 63}",4055,0.004382869332638289,0.1540808214974664,0.3595948714152638,0.5457459926017263
momentum,3m-1m,252,"{""skip"": 21, ""window"": 63}",3929,0.008043823873995276,0.15904196776004545,0.6305951873385472,0.5505217612624077
momentum,6m-0m,1,"{""skip"": 0, ""window"": 126}",4180,0.007396741368529315,0.22400176759538637,2.1351534103010352,0.5330143540669856
momentum,6m-0m,5,"{""skip"": 0, ""window"": 126}",4176,0.0025987808782892544,0.21722800169401238,0.4333721245982272,0.5256226053639846
momentum,6m-0m,10,"{""skip"": 0, ""window"": 126}",4171,-0.0025172060842804872,0.20970020921547372,-0.3124195362692413,0.522176935986574
momentum,6m-0m,21,"{""skip"": 0, ""window"": 126}",4160,-0.004366920961278396,0.1978893851459543,-0.4175367118867513,0.5302884615384615
momentum,6m-0m,42,"{""skip"": 0, ""window"": 126}",4139,-0.005453741595181013,0.17917427638634345,-0.43518285274963053,0.5221067890794878
momentum,6m-0m,63,"{""skip"": 0, ""window"": 126}",4118,-0.0034114468699758833,0.16733598897540186,-0.24989160667500826,0.5228266148615833
momentum,6m-0m,126,"{""skip"": 0, ""window"": 126}",4055,0.014538019775313346,0.15760199640875933,0.8289304648885374,0.5785450061652281
momentum,6m-0m,252,"{""skip"": 0, ""window"": 126}",3929,0.0052804458894080124,0.1746375132736055,0.2269590904836228,0.5227793331636549
momentum,6m-1m,1,"{""skip"": 21, ""window"": 126}",4180,0.009142563392812811,0.21932592300909606,2.695368265639911,0.535645933014354
